edad,ingreso_anual,deuda_total,historial_crediticio,num_prestamos_activos,ratio_deuda_ingreso,num_retrasos_12m,empleo_estable,tipo_vivienda,num_tarjetas_credito,consultas_crediticias_6m,estado_civil,riesgo_alto
56,65462.209511411886,0.0,23,4,0.5291758560457803,2,No,Propia,2,1,Casado,1
69,44813.06193290318,21131.80653562903,3,3,0.16903509901973554,0,Si,Alquiler,5,3,Casado,0
46,65715.63082103041,78529.27349213982,16,4,0.555148417031646,0,No,Propia,5,1,Soltero,1
32,18265.119834609883,18508.19938623916,9,1,0.31442183586392775,1,Si,Alquiler,2,3,Soltero,1
60,32608.215553794947,71754.9197175029,22,1,0.17390473842733375,1,Si,Hipoteca,1,1,Soltero,0
25,22895.21522444188,21473.463702634792,11,2,0.42736591094098003,1,Si,Propia,0,0,Soltero,1
38,61739.29545871082,25320.04858906874,26,1,0.21947984004407475,1,Si,Alquiler,5,1,Casado,0
56,67852.58749300231,47271.427182716245,1,2,0.16876061504712633,1,Si,Propia,6,2,Soltero,0
36,46154.349320040834,28195.856499843285,2,2,0.457411159520622,2,Si,Alquiler,1,2,Divorciado,0
40,28176.75808151085,39892.492791485725,13,2,0.48306358915996495,1,Si,Propia,3,2,Casado,1
28,49506.27266163431,61498.97398615278,24,1,0.3269332844198728,1,No,Propia,2,5,Soltero,1
28,37835.50273315481,45176.01867951538,14,1,0.4549407406578293,4,Si,Hipoteca,4,1,Casado,1
41,30095.732382656384,32830.64264299399,12,3,0.6283315348025259,1,Si,Propia,5,1,Soltero,0
70,58474.84213273116,63470.53683435186,8,0,0.566432376871139,3,Si,Hipoteca,2,1,Casado,1
53,31050.19443703316,47533.74951750199,1,1,0.2347742532418271,3,No,Alquiler,3,2,Casado,1
57,15000.0,15329.13673805304,18,3,0.4055886358194668,1,No,Propia,5,2,Casado,1
41,16397.13824092033,69601.50466888037,15,1,0.2602019606380609,1,Si,Propia,3,2,Casado,1
20,15000.0,42847.31184100357,10,4,0.11991615626812474,1,No,Alquiler,5,4,Soltero,1
39,56187.797914405106,25726.46462260277,11,1,0.5285360098694756,1,Si,Alquiler,4,3,Casado,0
70,53760.1359544041,0.0,24,4,0.6005370769196555,0,Si,Alquiler,2,1,Casado,0
19,52513.00236270405,2448.4723987066645,0,2,0.30517872540866947,2,Si,Alquiler,1,0,Soltero,0
41,64693.29131199856,64002.69820799874,1,2,0.4469644155239997,2,Si,Propia,1,0,Casado,0
61,79798.97140292791,64793.30503940902,15,3,0.7094359724921852,0,Si,Propia,3,2,Casado,1
47,35193.33672937212,31705.681374664804,26,1,0.6049980856981048,0,Si,Alquiler,2,2,Soltero,1
55,60161.93693096045,0.0,1,1,0.28273840122906796,0,Si,Alquiler,3,2,Soltero,0
19,15000.0,8260.494926987882,25,3,0.3840716047702289,0,Si,Alquiler,2,2,Soltero,0
38,84467.74365658377,0.0,29,2,0.2583790195103234,3,Si,Propia,2,4,Casado,0
50,18879.219044546076,0.0,18,4,0.44583878212521766,0,No,Propia,3,1,Divorciado,0
29,32247.97202398906,70536.04737873812,9,2,0.40809343179286045,3,No,Hipoteca,3,6,Divorciado,1
39,35057.26215667269,71198.35816828947,18,5,0.16942301354808134,0,No,Hipoteca,3,1,Casado,1
61,15000.0,7583.056928688606,9,0,0.30881086596599716,3,Si,Hipoteca,3,3,Soltero,1
42,50814.38943521405,29825.300482048013,15,3,0.0,1,Si,Propia,7,4,Casado,0
66,55347.59670503704,4304.076801363946,12,1,0.19222474476464818,0,No,Propia,4,2,Soltero,0
44,45264.65822546126,29695.239069998268,15,2,0.4825477027838255,2,No,Alquiler,8,3,Soltero,0
59,15000.0,62786.07766738193,17,2,0.42865432295036066,1,No,Alquiler,4,1,Casado,1
45,99584.65587129278,51574.3810160603,23,2,0.5893682270455046,1,Si,Propia,4,2,Soltero,0
33,63730.769912541204,46173.255309945744,7,3,0.41054542564870405,0,Si,Alquiler,6,2,Soltero,0
32,115855.55109124897,26116.40525474271,23,0,0.3607659140749705,3,Si,Propia,2,1,Casado,1
64,29872.269002842688,55239.34231992729,17,2,0.7715807542258178,0,Si,Propia,3,5,Casado,1
68,73947.05570442442,42933.37493166662,12,0,0.33214609902485837,0,No,Alquiler,1,2,Soltero,0
61,69481.8471848541,38078.31162631439,24,2,0.32296748141461273,0,Si,Propia,4,1,Casado,0
72,42735.622422565946,27691.81323600429,26,2,0.4099216757140445,0,Si,Alquiler,5,2,Soltero,0
69,85276.2725264806,36367.45879029333,6,2,0.2444395048346151,0,Si,Propia,7,3,Soltero,0
74,39864.749809655536,35765.03155738653,27,0,0.45141061168724805,4,Si,Propia,4,2,Casado,1
20,40977.714514384825,19171.367098514787,20,1,0.25512598940054465,0,Si,Hipoteca,3,2,Soltero,0
54,15000.0,14501.669325454672,22,2,0.31373653129686535,1,No,Alquiler,5,3,Soltero,1
68,60225.70134356593,10061.860793392196,23,2,0.25094084387593263,1,Si,Hipoteca,3,3,Soltero,0
24,16862.25220793984,11342.737764128138,24,3,0.044442225135922775,0,Si,Alquiler,1,4,Casado,0
38,36231.970107612215,26237.94248909897,17,1,0.0,0,Si,Alquiler,2,1,Casado,0
26,24344.509031374313,22946.30202008837,5,0,0.11524334122649654,2,Si,Hipoteca,2,1,Casado,1
56,40844.211517043455,17585.32506794887,8,1,0.6282178362295334,1,Si,Propia,4,3,Soltero,0
35,61097.005755435894,16104.37050529669,28,3,0.41502818575139167,0,Si,Alquiler,2,2,Soltero,0
21,50278.539076218934,35837.60052232633,5,1,0.303970678723557,0,Si,Hipoteca,2,3,Soltero,0
42,67741.03226264517,57552.14894348611,17,3,0.19208120644167545,1,No,Propia,3,2,Casado,1
31,81640.73838964078,29781.686378531016,16,1,0.652212573038898,0,Si,Alquiler,1,3,Soltero,0
67,40780.101583054115,28473.38399918462,11,2,0.2716638424451111,1,Si,Hipoteca,6,1,Casado,0
26,38035.81894959716,11302.26614573261,2,3,0.2309790505144785,4,No,Hipoteca,5,3,Casado,0
43,73943.19134155023,25538.603764185846,26,0,0.021629501145557783,1,No,Hipoteca,1,4,Soltero,0
70,75926.18221849824,53806.72681218738,4,1,0.0,0,No,Alquiler,3,3,Casado,0
19,68514.77170257617,50749.22207017945,6,4,0.492276666983715,0,Si,Alquiler,5,2,Casado,0
37,26195.529831516265,49359.47488548671,9,3,0.7372654583122487,1,No,Propia,4,2,Casado,1
45,60566.376637540096,48717.37658439685,9,3,0.4592819317135295,1,Si,Propia,1,1,Soltero,0
64,52736.76510118222,38734.6511112967,18,2,0.45663370891970295,2,Si,Hipoteca,4,1,Casado,0
24,76313.22353374158,38024.14326965991,24,1,0.7592828999618475,0,No,Hipoteca,6,2,Soltero,0
61,35678.19776155628,34895.00653369547,25,2,0.5001692173725361,0,Si,Alquiler,3,4,Casado,0
25,15000.0,21662.294398949714,27,2,0.3984506634891759,2,No,Alquiler,4,3,Casado,1
64,67255.92000950681,31673.987972310184,3,3,0.5118978250634958,1,Si,Alquiler,2,1,Casado,0
52,15000.0,34311.99367411734,9,2,0.5805770756701649,0,Si,Alquiler,3,0,Soltero,1
31,31712.16490259175,42663.37206632104,17,0,0.5018965298981927,1,Si,Hipoteca,2,6,Soltero,1
34,24420.11221704264,32005.12974090319,2,3,0.3028776085878587,2,No,Alquiler,4,2,Divorciado,1
53,24251.633227356328,72103.22761944836,20,5,0.481301344682818,0,Si,Hipoteca,2,1,Soltero,1
67,31274.21322612261,5803.756058841762,2,2,0.26140906033434386,0,Si,Alquiler,3,1,Soltero,0
57,80434.33924379075,45089.513995413996,4,3,0.39379632959727523,1,Si,Hipoteca,5,1,Soltero,0
21,70513.88547515932,29175.12586721893,15,1,0.4794524123747917,2,No,Alquiler,3,0,Soltero,0
19,43706.732950187376,30042.92564253084,19,4,0.7677623324132166,1,No,Alquiler,1,2,Soltero,1
23,78340.58679647623,13748.484353783839,12,3,0.4877362109327555,0,Si,Hipoteca,3,1,Soltero,0
71,23442.57112084065,50386.8653449737,10,5,0.4032818873439678,0,Si,Propia,6,3,Divorciado,1
59,20042.915356321046,43056.83068642314,25,2,0.3199074941107249,0,Si,Hipoteca,1,1,Divorciado,1
21,71589.91648116476,46672.747936073836,12,0,0.28319862389152906,1,No,Propia,3,2,Casado,0
71,64491.08073306618,33384.908096379295,18,3,0.3226510258691751,1,No,Alquiler,3,0,Casado,0
46,38493.41496041692,23502.1037071955,27,1,0.40804104450508344,0,No,Propia,4,2,Soltero,0
35,21613.477657546737,28668.769029110863,5,0,0.58316647927584,3,Si,Propia,2,2,Casado,1
43,86493.29687594851,38669.313001112794,23,3,0.1451314453491125,0,No,Alquiler,2,2,Casado,0
61,15000.0,0.0,12,2,0.5532219270204246,4,Si,Propia,3,0,Soltero,1
51,35039.35161641099,47458.65735150916,27,2,0.2869502848367541,3,Si,Hipoteca,2,5,Casado,1
27,55714.41318794743,78523.85629366133,3,2,0.2597912334606224,1,Si,Hipoteca,6,2,Casado,0
53,95054.12021078615,39606.70093906953,24,1,0.5021408191077487,2,Si,Hipoteca,2,1,Casado,0
31,59577.505301830504,24381.46751584452,21,3,0.3249830150067449,1,Si,Hipoteca,1,1,Divorciado,0
48,62007.61632533247,26775.29490641461,4,2,0.4952863308174886,0,Si,Alquiler,1,1,Casado,0
65,35765.407496296815,44150.84701868337,18,3,0.4776203047201871,1,Si,Propia,3,1,Soltero,0
32,64212.00563186496,24834.226733697633,4,5,0.5611575059196615,0,Si,Hipoteca,3,2,Soltero,0
25,52632.733021977176,47373.50542678354,20,0,0.6636802330562064,2,Si,Alquiler,2,3,Casado,1
31,15000.0,26517.18565739512,13,0,0.05599726515681552,1,Si,Propia,3,2,Casado,1
40,69823.37133732767,64283.669332486745,27,2,0.4408879591386757,1,No,Propia,0,1,Casado,1
74,74259.83474617128,63731.922720443756,27,3,0.2520476443919912,1,Si,Alquiler,2,1,Soltero,0
57,70084.12622052907,23396.606641181177,3,2,0.48360657546527414,0,No,Propia,3,1,Soltero,0
38,50833.19814164505,28379.523265224005,11,2,0.11889122364278881,0,Si,Propia,3,0,Casado,0
33,26095.57792125882,29552.6227624332,5,3,0.41020426487667666,1,Si,Alquiler,3,1,Soltero,1
62,15000.0,29820.67348472521,18,0,0.023586662317934437,1,Si,Propia,4,1,Casado,1
